rama,ordinal,pagina,titulo,resumen,etiquetas,creado,modificado,filtro,oculto
consejo-de-la-judicatura,0,consejo-de-la-judicatura,Consejo de la Judicatura,.,Sesiones,2020-01-01 12:00:00,2020-01-01 12:00:00,,1
pleno-del-tribunal-superior-de-justicia,0,pleno-del-tribunal-superior-de-justicia,Pleno del Tribunal Superior de Justicia,.,Sesiones,2020-01-01 12:00:00,2020-01-01 12:00:00,,1
pleno-del-tribunal-superior-de-justicia,1,2020-04-30-segunda-sesion-extraordinaria,2020-04-30 Segunda Sesión Extraordinaria,"Sesión Extraordinaria del Pleno del TSJ, 30 de abril 2020",Sesiones,2020-04-30 11:05:00,2020-04-30 11:05:00,,0
pleno-del-tribunal-superior-de-justicia,2,2020-04-15-primera-sesion-extraordinaria,2020-04-15 Primera Sesión Extraordinaria,"Sesión Extraordinaria del Pleno del TSJ, 15 de abril 2020",Sesiones,2020-04-15 15:00:00,2020-04-15 15:00:00,,0
pleno-del-tribunal-superior-de-justicia,3,2020-03-18-decima-primera-sesion-ordinaria,2020-03-18 Décima Primera Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 18 de marzo 2020",Sesiones,2020-03-18 15:00:00,2020-03-18 15:00:00,,0
pleno-del-tribunal-superior-de-justicia,4,2020-03-11-decima-sesion-ordinaria,2020-03-11 Décima Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 11 de marzo 2020",Sesiones,2020-03-11 15:00:00,2020-03-11 15:00:00,,0
pleno-del-tribunal-superior-de-justicia,5,2020-03-04-novena-sesion-ordinaria,2020-03-04 Novena Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 04 de marzo 2020",Sesiones,2020-03-04 15:00:00,2020-03-04 15:00:00,,0
pleno-del-tribunal-superior-de-justicia,6,2020-02-26-octava-sesion-ordinaria,2020-02-26 Octava Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 26 de febrero 2020",Sesiones,2020-02-26 15:00:00,2020-02-26 15:00:00,,0
pleno-del-tribunal-superior-de-justicia,7,2020-02-19-septima-sesion-ordinaria,2020-02-19 Séptima Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 19 de febrero 2020",Sesiones,2020-02-19 15:00:00,2020-02-19 15:00:00,,0
pleno-del-tribunal-superior-de-justicia,8,2020-02-12-sexta-sesion-ordinaria,2020-02-12 Sexta Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 12 de febrero 2020",Sesiones,2020-02-12 15:00:00,2020-02-12 15:00:00,,0
pleno-del-tribunal-superior-de-justicia,9,2020-02-05-quinta-sesion-ordinaria,2020-02-05 Quinta Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 05 de febrero 2020",Sesiones,2020-02-05 15:00:00,2020-02-05 15:00:00,,0
pleno-del-tribunal-superior-de-justicia,10,2020-01-29-cuarta-sesion-ordinaria,2020-01-29 Cuarta Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 29 de enero 2020",Sesiones,2020-01-29 15:00:00,2020-01-29 15:00:00,,0
pleno-del-tribunal-superior-de-justicia,11,2020-01-22-tercera-sesion-ordinaria,2020-01-22 Tercera Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 22 de enero 2020",Sesiones,2020-01-22 15:00:00,2020-01-22 15:00:00,,0
pleno-del-tribunal-superior-de-justicia,12,2020-01-15-segunda-sesion-ordinaria,2020-01-15 Segunda Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 15 de enero 2020",Sesiones,2020-01-15 15:00:00,2020-01-15 15:00:00,,0
pleno-del-tribunal-superior-de-justicia,13,2020-01-08-primera-sesion-ordinaria,2020-01-08 Primera Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 08 de enero 2020",Sesiones,2020-01-08 15:00:00,2020-01-08 15:00:00,,0
sala-civil-y-familiar,0,sala-civil-y-familiar,Sala Civil y Familiar,.,Sesiones,2020-01-01 12:00:00,2020-01-01 12:00:00,,1
sala-penal,0,sala-penal,Sala Penal,.,Sesiones,2020-01-01 12:00:00,2020-01-01 12:00:00,,1
